,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
5172,5172,4519598.720964909,4519354.675331985,-1913330.3089174286,1566.9103516899916,1567.924839721315,7404.795681110675,53.099999999999994,6671748.741280573,1,0.0008699998902495042,0.8265415053345323,0,0.00033121701552809977,0,0,0
5173,5173,4521162.597846607,4520919.566865267,-1905924.2308529655,1560.8430618662853,1561.857876775718,7407.358791066136,53.099999999999994,6671748.730510884,1,0.0008699998902495042,0.8262227998530988,0,0.00033131469077923484,0,0,0
5174,5174,4522720.406390317,4522478.390386758,-1898515.5946493673,1554.7736770701529,1555.7888174956029,7409.911958808848,53.099999999999994,6671748.719738029,1,0.0008699998902495042,0.8259052379661715,0,0.0003314120483603862,0,0,0
5175,5175,4524272.1445051385,4524031.143804196,-1891104.410250561,1548.702205447984,1549.7176700269217,7412.45518091193,53.099999999999994,6671748.708962013,1,0.0008699998902495042,0.8255888210728648,0,0.0003315090874628568,0,0,0
5176,5176,4525817.810108321,4525577.825033466,-1883690.6876038946,1542.6286551489686,1543.6444425184302,7414.9884539618515,53.099999999999994,6671748.698182846,1,0.0008699998902495042,0.8252735505693388,0,0.00033160580728005585,0,0,0
5177,5177,4527357.401125262,4527118.431998604,-1876274.4366601221,1536.5530343250873,1537.5691431216753,7417.511774558434,53.099999999999994,6671748.687400538,1,0.0008699998902495042,0.8249594278487737,0,0.0003317022070075967,0,0,0
5178,5178,4528890.915489514,4528652.962631798,-1868855.6673733913,1530.4753511310996,1531.491779990985,7420.025139314859,53.099999999999994,6671748.676615101,1,0.0008699998902495042,0.8246464543013472,0,0.00033179828584323744,0,0,0
5179,5179,4530418.351142786,4530181.414873393,-1861434.3897012305,1524.3956137245327,1525.4123612834571,7422.528544857671,53.099999999999994,6671748.665826549,1,0.0008699998902495042,0.8243346313142077,0,0.00033189404298692425,0,0,0
5180,5180,4531939.706034946,4531703.786671893,-1854010.6136045342,1518.3138302656716,1519.3308951589488,7425.021987826779,53.099999999999994,6671748.655034889,1,0.0008699998902495042,0.8240239602714499,0,0.00033198947764080677,0,0,0
5181,5181,4533454.978124022,4533220.07598396,-1846584.3490475507,1512.230008917547,1513.2473897800649,7427.505464875468,53.099999999999994,6671748.64424013,1,0.0008699998902495042,0.8237144425540911,0,0.0003320845890092882,0,0,0
5182,5182,4534964.165376207,4534730.280774424,-1839155.605997868,1506.1441578459248,1507.1618533121473,7429.978972670397,53.099999999999994,6671748.633442281,1,0.0008699998902495042,0.8234060795400439,0,0.00033217937629893965,0,0,0
5183,5183,4536467.265765862,4536234.399016278,-1831724.3944264012,1500.056285219296,1501.0742939232641,7432.4425078916065,53.099999999999994,6671748.622641361,1,0.0008699998902495042,0.8230988726040938,0,0.0003322738387185766,0,0,0
5184,5184,4537964.277275518,4537732.428690687,-1824290.7243073783,1493.9663992088635,1494.9847197841987,7434.896067232523,53.099999999999994,6671748.611837372,1,0.0008699998902495042,0.8227928231178726,0,0.00033236797547929486,0,0,0
5185,5185,4539455.197895876,4539224.367786988,-1816854.6056183274,1487.8745079885339,1488.8931390684384,7437.339647399962,53.099999999999994,6671748.601030331,1,0.0008699998902495042,0.8224879324498343,0,0.0003324617857944057,0,0,0
5186,5186,4540940.025625817,4540710.214302691,-1809416.0483400628,1481.7806197349043,1482.799559952164,7439.773245114133,53.099999999999994,6671748.590220243,1,0.0008699998902495042,0.822184201965229,0,0.00033255526887954586,0,0,0
5187,5187,4542418.758472394,4542189.966243485,-1801975.0624566723,1475.6847426272527,1476.7039906142381,7442.1968571086445,53.099999999999994,6671748.57940712,1,0.0008699998902495042,0.8218816330260806,0,0.0003326484239525446,0,0,0
5188,5188,4543891.394450847,4543663.6216232395,-1794531.657955503,1469.586884847526,1470.6064392361952,7444.610480130508,53.099999999999994,6671748.568590975,1,0.0008699998902495042,0.821580226991158,0,0.00033274125023362213,0,0,0
